City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Saint George,US,48.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
252,Matamoros,MX,70.41,overcast clouds,25.5333,-103.25,Quinta Belem
256,Ruidoso,US,48.96,few clouds,33.3317,-105.673,Inn of the Mountain Gods
260,Montepuez,MZ,74.52,overcast clouds,-13.1256,38.9997,PembaAparthotel
262,Coquimbo,CL,61.65,clear sky,-29.9533,-71.3436,Hotel San Juan
263,Te Anau,NZ,59.9,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
265,General Pico,AR,62.51,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
267,Albina,SR,73.15,overcast clouds,5.5,-54.05,Hudace
269,Tomatlan,MX,63.54,overcast clouds,19.9333,-105.25,El Salvial
271,Urumqi,CN,40.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
272,Ucluelet,CA,45.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
273,Makakilo City,US,74.28,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
275,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
276,Dengzhou,CN,43.29,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
277,Puerto Del Rosario,ES,58.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
279,Kenora,CA,40.17,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
280,Ribeira Brava,PT,59.05,overcast clouds,32.65,-17.0667,Hotel do Campo
283,Weymouth,US,45.48,overcast clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
284,Guerrero Negro,MX,57.56,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
285,Farafangana,MG,77.23,light rain,-22.8167,47.8333,Miarina
286,Miyazu,JP,48.4,scattered clouds,35.5333,135.1833,Seikiro
287,Griffith,US,49.89,clear sky,41.5284,-87.4237,Apartment above Depot Bar
289,Alta Floresta,BR,69.58,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
290,Tahta,EG,62.92,scattered clouds,26.7693,31.5021,فندق الزيات
292,Vestmanna,FO,43.72,overcast clouds,62.1564,-7.1664,Vestmanna Camping
295,Dalaba,GN,64.98,overcast clouds,10.7,-12.25,Hôtel Tangama
297,Maun,BW,72.73,few clouds,-19.9833,23.4167,Enviro Villa
299,Morgantown,US,41.76,clear sky,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
302,Marsh Harbour,BS,73.42,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
303,Dandong,CN,43.09,overcast clouds,40.1292,124.3947,Yiranju Farmstay
304,Jacareacanga,BR,72.32,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
306,Tumaco,CO,76.33,overcast clouds,1.7986,-78.8156,Unión Victoria
310,Richland,US,40.19,few clouds,40.7834,-82.5499,Hampton Inn Mansfield/Ontario
312,Francisco Sa,BR,66.69,few clouds,-16.4758,-43.4883,Amaralina Hotel
314,Tottori,JP,50.07,broken clouds,35.5,134.2333,Hotel Monarque Tottori
315,Lucea,JM,75.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
316,Tsuyama,JP,56.82,overcast clouds,35.05,134.0,Tsuyama Central Hotel Annex
319,Wanaka,NZ,60.58,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
322,Salinopolis,BR,77.0,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
327,Saint-Francois,FR,49.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
328,Kaabong,UG,79.79,clear sky,3.4836,34.1492,Rock Motel Ltd
331,Tayoltita,MX,55.17,few clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
332,Vardo,NO,40.57,overcast clouds,70.3705,31.1107,Vardø Hotel AS
336,Vila,PT,47.28,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
338,Delta Del Tigre,UY,55.51,clear sky,-34.7633,-56.3853,FINCA SUAREZ
340,Kemise,ET,75.2,overcast clouds,10.7167,39.8667,Hussen Endris
341,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
345,Peachland,CA,43.99,overcast clouds,49.7665,-119.7357,Wine Stopper B&B
349,Jumla,NP,67.05,scattered clouds,29.2747,82.1838,Royal Garden Hotel
350,Lerwick,GB,42.8,clear sky,60.1545,-1.1494,The Lerwick Hotel
351,Kyaikto,MM,79.74,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
354,Brae,GB,42.01,clear sky,60.3964,-1.353,Busta House Hotel
358,Bandar-E Lengeh,IR,77.11,few clouds,26.5579,54.8807,کافی نت پارس
359,Richards Bay,ZA,75.16,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
361,Kindu,CD,75.36,overcast clouds,-2.95,25.95,Résidence Okanda
