City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,San Isidro,PE,-12.1167,-77.05,65.79,25,0,6.91,clear sky
241,Chinsali,ZM,-10.5414,32.0816,67.48,89,91,7.11,overcast clouds
242,Alekseyevsk,RU,57.8406,108.3492,28.45,83,100,13.58,overcast clouds
243,Ulladulla,AU,-35.35,150.4667,78.76,68,1,4.45,clear sky
244,Chapais,CA,49.7834,-74.8492,24.58,94,100,8.46,overcast clouds
245,Snezhnogorsk,RU,69.1933,33.2531,35.38,78,98,12.28,overcast clouds
246,Ciudad Bolivar,VE,8.1222,-63.5497,74.28,81,55,10.09,broken clouds
247,Bambous Virieux,MU,-20.3428,57.7575,84.22,94,75,11.5,thunderstorm with rain
248,Chulman,RU,56.8479,124.9104,19.74,79,100,10.58,overcast clouds
249,Codrington,AU,-38.2667,141.9667,64.4,73,100,12.15,overcast clouds
250,Hasaki,JP,35.7333,140.8333,54.0,47,26,7.76,scattered clouds
251,Saint George,US,37.1041,-113.5841,48.94,25,0,17.27,clear sky
252,Matamoros,MX,25.5333,-103.25,70.41,10,100,11.65,overcast clouds
253,Kukuna,SL,9.4,-12.6667,73.98,76,100,2.3,overcast clouds
254,Sur,OM,22.5667,59.5289,82.62,34,0,3.91,clear sky
255,Antropovo,RU,58.3988,43.0066,35.42,85,99,12.48,overcast clouds
256,Ruidoso,US,33.3317,-105.673,48.96,18,20,3.44,few clouds
257,Lokoja,NG,7.8024,6.743,82.38,70,10,7.7,clear sky
258,Mogadishu,SO,2.0371,45.3438,84.07,74,40,14.97,scattered clouds
259,Gamba,GA,-2.65,10.0,78.71,81,100,3.89,overcast clouds
260,Montepuez,MZ,-13.1256,38.9997,74.52,73,100,7.78,overcast clouds
261,Manggar,ID,-2.8833,108.2667,84.65,69,100,3.96,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,61.65,78,0,4.79,clear sky
263,Te Anau,NZ,-45.4167,167.7167,59.9,71,100,3.29,overcast clouds
264,Magaria,NE,12.9983,8.9099,83.93,11,96,4.9,overcast clouds
265,General Pico,AR,-35.6566,-63.7568,62.51,50,100,17.92,overcast clouds
266,Ban Tak,TH,17.0432,99.0813,96.96,35,73,7.85,broken clouds
267,Albina,SR,5.5,-54.05,73.15,92,98,3.91,overcast clouds
268,Drovyanaya,RU,51.5833,113.0333,31.26,57,83,13.02,broken clouds
269,Tomatlan,MX,19.9333,-105.25,63.54,49,94,2.84,overcast clouds
270,Tazovskiy,RU,67.4667,78.7,13.01,93,88,9.31,overcast clouds
271,Urumqi,CN,43.801,87.6005,40.15,42,0,2.24,clear sky
272,Ucluelet,CA,48.9329,-125.5528,45.09,93,100,4.0,overcast clouds
273,Makakilo City,US,21.3469,-158.0858,74.28,83,75,5.75,light rain
274,Poum,NC,-20.2333,164.0167,80.91,75,41,18.61,scattered clouds
275,Isla Mujeres,MX,21.2311,-86.731,77.16,75,0,13.98,clear sky
276,Dengzhou,CN,37.8086,120.7508,43.29,56,100,8.93,overcast clouds
277,Puerto Del Rosario,ES,28.5004,-13.8627,58.75,72,20,8.05,few clouds
278,Yumen,CN,40.2833,97.2,44.74,22,100,22.97,overcast clouds
279,Kenora,CA,49.8167,-94.4337,40.17,56,100,9.22,overcast clouds
280,Ribeira Brava,PT,32.65,-17.0667,59.05,70,87,5.28,overcast clouds
281,Cairns,AU,-16.9167,145.7667,86.07,67,29,16.11,scattered clouds
282,Chodziez,PL,52.995,16.9198,39.43,50,0,9.69,clear sky
283,Weymouth,US,42.2209,-70.9398,45.48,69,100,19.57,overcast clouds
284,Guerrero Negro,MX,27.9769,-114.0611,57.56,76,19,17.58,few clouds
285,Farafangana,MG,-22.8167,47.8333,77.23,67,90,6.85,light rain
286,Miyazu,JP,35.5333,135.1833,48.4,64,42,7.85,scattered clouds
287,Griffith,US,41.5284,-87.4237,49.89,100,0,0.0,clear sky
288,Tautira,PF,-17.7333,-149.15,81.79,74,10,17.02,clear sky
289,Alta Floresta,BR,-9.8756,-56.0861,69.58,98,100,1.28,overcast clouds
290,Tahta,EG,26.7693,31.5021,62.92,40,31,13.85,scattered clouds
291,Opuwo,NA,-18.0607,13.84,74.25,58,42,7.85,scattered clouds
292,Vestmanna,FO,62.1564,-7.1664,43.72,93,100,18.41,overcast clouds
293,Husavik,IS,66.0449,-17.3389,26.29,78,100,7.7,overcast clouds
294,Merauke,ID,-8.4667,140.3333,84.13,69,100,3.33,overcast clouds
295,Dalaba,GN,10.7,-12.25,64.98,59,100,2.35,overcast clouds
296,Dire,ML,12.2833,-10.9667,80.1,20,85,2.06,overcast clouds
297,Maun,BW,-19.9833,23.4167,72.73,46,15,10.92,few clouds
298,Ilulissat,GL,69.2167,-51.1,-7.58,54,0,1.14,clear sky
299,Morgantown,US,39.6295,-79.9559,41.76,80,0,4.61,clear sky
300,Namatanai,PG,-3.6667,152.4333,83.95,71,81,7.78,broken clouds
301,Verkhoyansk,RU,67.5447,133.385,3.02,84,21,2.53,few clouds
302,Marsh Harbour,BS,26.5412,-77.0636,73.42,76,100,18.41,overcast clouds
303,Dandong,CN,40.1292,124.3947,43.09,46,100,13.96,overcast clouds
304,Jacareacanga,BR,-6.2222,-57.7528,72.32,100,100,1.77,overcast clouds
305,Thessalon,CA,46.2501,-83.5666,28.69,98,79,4.52,broken clouds
306,Tumaco,CO,1.7986,-78.8156,76.33,92,94,5.53,overcast clouds
307,Clyde River,CA,70.4692,-68.5914,-18.17,69,40,11.5,scattered clouds
308,Inhambane,MZ,-23.865,35.3833,80.58,57,40,13.8,scattered clouds
309,Barrow,US,71.2906,-156.7887,-25.58,68,0,10.36,clear sky
310,Richland,US,40.7834,-82.5499,40.19,83,20,5.75,few clouds
311,Urk,NL,52.6625,5.6014,37.96,89,0,6.29,clear sky
312,Francisco Sa,BR,-16.4758,-43.4883,66.69,75,16,5.01,few clouds
313,Kloulklubed,PW,7.0419,134.2556,84.7,77,69,16.46,broken clouds
314,Tottori,JP,35.5,134.2333,50.07,53,75,11.5,broken clouds
315,Lucea,JM,18.451,-78.1736,75.06,78,25,9.84,scattered clouds
316,Tsuyama,JP,35.05,134.0,56.82,50,98,4.68,overcast clouds
317,Biltine,TD,14.5333,20.9167,83.43,4,43,9.33,scattered clouds
318,Saint-Pierre,RE,-21.3393,55.4781,80.19,84,100,11.5,overcast clouds
319,Wanaka,NZ,-44.7,169.15,60.58,68,100,4.5,overcast clouds
320,Tayga,RU,56.06,85.6197,22.12,89,100,12.95,light snow
321,Ambilobe,MG,-13.2,49.05,85.44,71,100,1.97,overcast clouds
322,Salinopolis,BR,-0.6136,-47.3561,77.0,87,100,5.17,light rain
323,Krasnaya Gora,RU,52.9995,31.6023,38.34,77,7,7.74,clear sky
324,Olinda,BR,-8.0089,-34.8553,80.33,83,40,4.61,scattered clouds
325,Soyo,AO,-6.1349,12.3689,80.2,82,100,6.78,overcast clouds
326,Sistranda,NO,63.7256,8.834,35.56,67,0,5.64,clear sky
327,Saint-Francois,FR,46.4154,3.9054,49.68,57,0,4.61,clear sky
328,Kaabong,UG,3.4836,34.1492,79.79,36,4,16.33,clear sky
329,Aksehir,TR,38.3575,31.4164,25.47,73,45,6.85,scattered clouds
330,Rajmahal,IN,25.05,87.8333,103.64,16,4,7.78,clear sky
331,Tayoltita,MX,24.0833,-105.9333,55.17,52,15,3.8,few clouds
332,Vardo,NO,70.3705,31.1107,40.57,61,100,23.49,overcast clouds
333,Mari-Turek,RU,56.7895,49.6235,31.35,84,98,14.72,overcast clouds
334,Grindavik,IS,63.8424,-22.4338,34.27,80,75,8.05,broken clouds
335,Olafsvik,IS,64.8945,-23.7142,33.1,70,100,7.49,overcast clouds
336,Vila,PT,42.0304,-8.1588,47.28,78,97,4.83,overcast clouds
337,Agas,RO,46.4833,26.2167,36.3,70,68,6.6,broken clouds
338,Delta Del Tigre,UY,-34.7633,-56.3853,55.51,90,5,1.99,clear sky
339,Makaryev,RU,57.8797,43.8069,37.96,80,68,13.0,broken clouds
340,Kemise,ET,10.7167,39.8667,75.2,43,93,2.39,overcast clouds
341,Faya,SA,18.3851,42.4509,68.11,46,3,13.31,clear sky
342,Palanga,LT,55.9175,21.0686,35.62,87,0,1.14,clear sky
343,San Andres,CO,12.5847,-81.7006,80.62,78,20,13.8,few clouds
344,Henties Bay,NA,-22.116,14.2845,69.22,80,39,2.95,scattered clouds
345,Peachland,CA,49.7665,-119.7357,43.99,60,100,2.01,overcast clouds
346,Kharp,RU,66.8014,65.8081,22.32,81,7,5.75,clear sky
347,Tilichiki,RU,60.4667,166.1,30.22,96,100,32.48,snow
348,Kavaratti,IN,10.5669,72.642,81.86,66,12,7.56,few clouds
